flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,39,gen,,False,EDWARD R. ROYCE,REPUBLICAN,False,TOTAL,145607,251967,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,40,gen,,False,LUCILLE ROYBAL-ALLARD,DEMOCRAT,False,TOTAL,73940,125553,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,41,gen,,False,MARK TAKANO,DEMOCRAT,False,TOTAL,103578,175652,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,42,gen,,False,KEN CALVERT,REPUBLICAN,False,TOTAL,130245,214947,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,43,gen,,False,MAXINE WATERS,DEMOCRAT,False,TOTAL,143123,200894,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,44,gen,,False,JANICE HAHN,DEMOCRAT,False,TOTAL,99909,165898,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,45,gen,,False,JOHN CAMPBELL,REPUBLICAN,False,TOTAL,171417,293231,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,46,gen,,False,LORETTA SANCHEZ,DEMOCRAT,False,TOTAL,95694,149815,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,47,gen,,False,ALAN LOWENTHAL,DEMOCRAT,False,TOTAL,130093,230012,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,48,gen,,False,DANA ROHRABACHER,REPUBLICAN,False,TOTAL,177144,290502,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,49,gen,,False,DARRELL E. ISSA,REPUBLICAN,False,TOTAL,159725,274618,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,50,gen,,False,DUNCAN HUNTER,REPUBLICAN,False,TOTAL,174838,258293,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,51,gen,,False,JUAN VARGAS,DEMOCRAT,False,TOTAL,113934,159398,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,52,gen,,False,SCOTT PETERS,DEMOCRAT,False,TOTAL,151451,295910,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,53,gen,,False,SUSAN A. DAVIS,DEMOCRAT,False,TOTAL,164825,268307,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,1,gen,,False,DIANA DEGETTE,DEMOCRAT,False,TOTAL,237579,348210,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,2,gen,,False,JARED POLIS,DEMOCRAT,False,TOTAL,234758,421580,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,3,gen,,False,SCOTT R. TIPTON,REPUBLICAN,False,TOTAL,185291,347247,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,4,gen,,False,CORY GARDNER,REPUBLICAN,False,TOTAL,200006,342336,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,5,gen,,False,DOUG LAMBORN,REPUBLICAN,False,TOTAL,199639,307231,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,6,gen,,False,MIKE COFFMAN,REPUBLICAN,False,TOTAL,163938,342914,False,20201202,False
False,2012,COLORADO,CO,8,84,62,US HOUSE,7,gen,,False,ED PERLMUTTER,DEMOCRAT,False,TOTAL,182460,340970,False,20201202,False
False,2012,CONNECTICUT,CT,9,16,1,US HOUSE,1,gen,,False,JOHN B. LARSON,DEMOCRAT,False,TOTAL,192840,297061,False,20201202,True
False,2012,CONNECTICUT,CT,9,16,1,US HOUSE,2,gen,,False,JOE COURTNEY,DEMOCRAT,False,TOTAL,189444,298960,False,20201202,True
False,2012,CONNECTICUT,CT,9,16,1,US HOUSE,4,gen,,False,JAMES A. HIMES,DEMOCRAT,False,TOTAL,167320,293432,False,20201202,True
False,2012,CONNECTICUT,CT,9,16,1,US HOUSE,5,gen,,False,ELIZABETH ESTY,DEMOCRAT,False,TOTAL,137631,284757,False,20201202,True
False,2012,DELAWARE,DE,10,51,11,US HOUSE,0,gen,,False,JOHN C. CARNEY,DEMOCRAT,False,TOTAL,249933,388059,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,1,gen,,False,JEFF MILLER,REPUBLICAN,False,TOTAL,238440,342594,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,2,gen,,False,STEVE SOUTHERLAND II,REPUBLICAN,False,TOTAL,175856,333718,False,20201202,False
